//assets.dat - Written by Chuck Bolin, October 2008
//Purpose: defines assets for game

//graphicfile, file ID, description
graphicfile, 0, menu.png,   Menu text and cindys head
graphicfile, 1, intro.png, introduction screen 
graphicfile, 2, ground.jpg, Grassy ground
graphicfile, 3, landscape1.png, Grassy sections
graphicfile, 4, bad.png, Bad guys
graphicfile, 5, help.png, Keyboard help
graphicfile, 7, tileset1.png, Tileset 1
graphicfile, 9, editor.png, editor graphics
graphicfile, 10, effects.png, special effects
graphicfile, 11, player.png, Player sprites
graphicfile, 12, play.png, Play screen stuff
graphicfile, 13, tileset2.png, Powerups

//sprites (rectangular areas of textures.
//sprite, sprite ID, file ID,left, top, width, height, scale, alpha, angle, max frames,time betw, descript

//unselected menu
sprite, 3, 0, 1, 1, 235, 64,  1, 255,  0, 1,  0, Play Game
sprite, 4, 0, 1, 67, 269, 64, 1, 255,  0, 1,  0, How to Play
sprite, 5, 0, 1, 131, 370, 64,  1, 255,  0, 1,  0, Edit
sprite, 6, 0, 1, 203, 113, 64, 1, 255,  0, 1,  0, Quit

//selected menu
sprite, 7, 0, 1, 264, 236, 64,  1, 255,  0, 1,  0, Play game
sprite, 8, 0, 1, 334, 270, 64,  1, 255,  0, 1,  0, How to Play
sprite, 9, 0, 1, 400, 369, 64,  1, 255,  0, 1,  0, Edit
sprite, 10, 0, 1, 472, 113, 64,  1, 255,  0, 1,  0, Quit

sprite, 11, 0, 511, 8, 179, 56, 1, 255,  0, 1,  0, Credits.
sprite, 20, 1, 16, 6, 950, 568,  1, 255, 0, 1, 0, Intro screen

//faces for menu
sprite, 21, 0, 366, 13, 64, 75,  1, 255, 0, 1, 0, Left side face.
sprite, 22, 0, 430, 10, 64, 75,  1, 255, 0, 1, 0, Right side face.

//test sprites
sprite, 23, 7, 0, 0, 32, 32,  1, 255, 0, 4, 1.0, Letters A - D
sprite, 24, 7, 0, 32, 32, 32,  1, 255, 0, 1, 0, Letter E
sprite, 25, 7, 32, 32, 32, 32,  1, 255, 0, 1, 0, Letter F
sprite, 26, 7, 64, 32, 32, 32,  1, 255, 0, 1, 0, Letter G
sprite, 27, 7, 96, 32, 32, 32,   1, 255, 0, 1, 0, Letter H
sprite, 28, 7, 1, 64, 45, 46,  1, 255, 0, 1, 0, Tree 1
sprite, 29, 7, 46, 67, 30, 26, 1, 255, 0, 1, 0, Tree 2
sprite, 30, 7, 80, 67, 33, 36,  1, 255, 0, 1, 0, Tree 3
sprite, 31, 7, 0, 112, 256, 256,  1, 255, 0, 1, 0, Hill
//sprite, 32, 7, 263, 112, 128, 128,  1, 255, 0, 1, 0, Grass
sprite, 32, 7, 264, 113, 128, 128,  1, 255, 0, 1, 0, Grass

//iso testing
//sprite, 33, 8, 402, 132, 102, 122, 1, 255, 0, 1, 0, iso tree

//blocks
sprite, 34, 7, 148, 2, 32, 32, 1, 255, 0, 1, 0, block1
sprite, 35, 7, 180, 2, 32, 32, 1, 255, 0, 1, 0, block2
sprite, 36, 7, 212, 2, 32, 32, 1, 255, 0, 1, 0, block3
sprite, 37, 7, 244, 2, 32, 32, 1, 255, 0, 1, 0, block4
sprite, 38, 7, 276, 2, 32, 32, 1, 255, 0, 1, 0, block5

//points for editor
sprite, 39, 9, 1, 0, 0, 1, 1, 1, 255, 0, 1, 0, point1
sprite, 40, 9, 3, 0, 2, 2, 1, 255, 0, 1, 0, point2
sprite, 41, 9, 7, 0, 3, 3, 1, 255, 0, 1, 0, point3
sprite, 42, 9, 3, 18, 240, 708, 1, 255, 0, 1, 0, Edit panel

sprite, 43, 7, 264, 113, 64, 64,  1, 255, 0, 1, 0, Grass2
sprite, 44, 7, 264, 113, 32, 32,  1, 255, 0, 1, 0, Grass3

sprite, 45, 9, 253, 17, 541, 110, 1, 255, 0, 1, 0, Editor Label

sprite, 46, 10, 0, 0, 64, 64, 1, 255, 0, 12, 0.05, Explosion 1

sprite, 47, 9, 253, 149, 634, 70, 1, 255, 0, 1, 0, Clear Open Save bar

sprite, 48, 10, 0, 64, 64, 64, 1, 255, 0, 12, 0.10, Explosion 2
sprite, 49, 10, 0, 128, 64, 64, 1, 255, 0, 12, 0.15, Explosion 3
sprite, 50, 10, 0, 192, 64, 64, 1, 255, 0, 12, 0.25, Explosion 4

sprite, 51, 7, 309, 1, 32, 32, 1, 255, 0, 1, 0, Test Circle

//player stuff
sprite, 52, 11, 0, 0, 31, 31, 1, 255, 0, 4, 0.2, player standing
sprite, 53, 11, 0, 31, 31, 31, 1, 255, 0, 4, 4, player walking
sprite, 54, 11, 0, 64, 32, 32, 1, 255, 0, 4, 0.2, player dying
sprite, 55, 11, 0, 96, 32, 32, 1, 255, 0, 4, 0.2, player pistol
sprite, 56, 11, 0, 128, 32, 32, 1, 255, 0, 4, 0.2, player bat
