//Cindy and the Cookie Stealing Ogre
//level1.dat Auto generated by the in-game Editor
player, position, 280, 280
time, 300
machinegun, 248, 320
grass1, 0, 0
grass1, 0, 128
grass1, 0, 256
grass1, 0, 384
grass1, 0, 512
grass1, 0, 640
grass1, 0, 768
grass1, 0, 896
grass1, 0, 1024
grass1, 0, 1152
grass1, 0, 1280
grass1, 0, 1408
grass1, 0, 1536
grass1, 0, 1664
grass1, 0, 1792
grass1, 0, 1920
grass1, 0, 2048
grass1, 0, 2176
grass1, 0, 2304
grass1, 0, 2432
grass1, 128, 0
grass1, 128, 128
grass1, 128, 256
grass1, 128, 384
grass1, 128, 512
grass1, 128, 640
grass1, 128, 768
grass1, 128, 896
grass1, 128, 1024
grass1, 128, 1152
grass1, 128, 1280
grass1, 128, 1408
grass1, 128, 1536
grass1, 128, 1664
grass1, 128, 1792
grass1, 128, 1920
grass1, 128, 2048
grass1, 128, 2176
grass1, 128, 2304
grass1, 128, 2432
grass1, 256, 0
grass1, 256, 128
grass1, 256, 256
grass1, 256, 384
grass1, 256, 512
grass1, 256, 640
grass1, 256, 768
grass1, 256, 896
grass1, 256, 1024
grass1, 256, 1152
grass1, 256, 1280
grass1, 256, 1408
grass1, 256, 1536
grass1, 256, 1664
grass1, 256, 1792
grass1, 256, 1920
grass1, 256, 2048
grass1, 256, 2176
grass1, 256, 2304
grass1, 256, 2432
grass1, 384, 0
grass1, 384, 128
grass1, 384, 256
grass1, 384, 384
grass1, 384, 512
grass1, 384, 640
grass1, 384, 768
grass1, 384, 896
grass1, 384, 1024
grass1, 384, 1152
grass1, 384, 1280
grass1, 384, 1408
grass1, 384, 1536
grass1, 384, 1664
grass1, 384, 1792
grass1, 384, 1920
grass1, 384, 2048
grass1, 384, 2176
grass1, 384, 2304
grass1, 384, 2432
grass1, 512, 0
grass1, 512, 128
grass1, 512, 256
grass1, 512, 384
grass1, 512, 512
grass1, 512, 640
grass1, 512, 768
grass1, 512, 896
grass1, 512, 1024
grass1, 512, 1152
grass1, 512, 1280
grass1, 512, 1408
grass1, 512, 1536
grass1, 512, 1664
grass1, 512, 1792
grass1, 512, 1920
grass1, 512, 2048
grass1, 512, 2176
grass1, 512, 2304
grass1, 512, 2432
grass1, 640, 0
grass1, 640, 128
grass1, 640, 256
grass1, 640, 384
grass1, 640, 512
grass1, 640, 640
grass1, 640, 768
grass1, 640, 896
grass1, 640, 1024
grass1, 640, 1152
grass1, 640, 1280
grass1, 640, 1408
grass1, 640, 1536
grass1, 640, 1664
grass1, 640, 1792
grass1, 640, 1920
grass1, 640, 2048
grass1, 640, 2176
grass1, 640, 2304
grass1, 640, 2432
grass1, 768, 0
grass1, 768, 128
grass1, 768, 256
grass1, 768, 384
grass1, 768, 512
grass1, 768, 640
grass1, 768, 768
grass1, 768, 896
grass1, 768, 1024
grass1, 768, 1152
grass1, 768, 1280
grass1, 768, 1408
grass1, 768, 1536
grass1, 768, 1664
grass1, 768, 1792
grass1, 768, 1920
grass1, 768, 2048
grass1, 768, 2176
grass1, 768, 2304
grass1, 768, 2432
grass1, 896, 0
grass1, 896, 128
grass1, 896, 256
grass1, 896, 384
grass1, 896, 512
grass1, 896, 640
grass1, 896, 768
grass1, 896, 896
grass1, 896, 1024
grass1, 896, 1152
grass1, 896, 1280
grass1, 896, 1408
grass1, 896, 1536
grass1, 896, 1664
grass1, 896, 1792
grass1, 896, 1920
grass1, 896, 2048
grass1, 896, 2176
grass1, 896, 2304
grass1, 896, 2432
grass1, 1024, 0
grass1, 1024, 128
grass1, 1024, 256
grass1, 1024, 384
grass1, 1024, 512
grass1, 1024, 640
grass1, 1024, 768
grass1, 1024, 896
grass1, 1024, 1024
grass1, 1024, 1152
grass1, 1024, 1280
grass1, 1024, 1408
grass1, 1024, 1536
grass1, 1024, 1664
grass1, 1024, 1792
grass1, 1024, 1920
grass1, 1024, 2048
grass1, 1024, 2176
grass1, 1024, 2304
grass1, 1024, 2432
grass1, 1152, 0
grass1, 1152, 128
grass1, 1152, 256
grass1, 1152, 384
grass1, 1152, 512
grass1, 1152, 640
grass1, 1152, 768
grass1, 1152, 896
grass1, 1152, 1024
grass1, 1152, 1152
grass1, 1152, 1280
grass1, 1152, 1408
grass1, 1152, 1536
grass1, 1152, 1664
grass1, 1152, 1792
grass1, 1152, 1920
grass1, 1152, 2048
grass1, 1152, 2176
grass1, 1152, 2304
grass1, 1152, 2432
grass1, 1280, 0
grass1, 1280, 128
grass1, 1280, 256
grass1, 1280, 384
grass1, 1280, 512
grass1, 1280, 640
grass1, 1280, 768
grass1, 1280, 896
grass1, 1280, 1024
grass1, 1280, 1152
grass1, 1280, 1280
grass1, 1280, 1408
grass1, 1280, 1536
grass1, 1280, 1664
grass1, 1280, 1792
grass1, 1280, 1920
grass1, 1280, 2048
grass1, 1280, 2176
grass1, 1280, 2304
grass1, 1280, 2432
grass1, 1408, 0
grass1, 1408, 128
grass1, 1408, 256
grass1, 1408, 384
grass1, 1408, 512
grass1, 1408, 640
grass1, 1408, 768
grass1, 1408, 896
grass1, 1408, 1024
grass1, 1408, 1152
grass1, 1408, 1280
grass1, 1408, 1408
grass1, 1408, 1536
grass1, 1408, 1664
grass1, 1408, 1792
grass1, 1408, 1920
grass1, 1408, 2048
grass1, 1408, 2176
grass1, 1408, 2304
grass1, 1408, 2432
grass1, 1536, 0
grass1, 1536, 128
grass1, 1536, 256
grass1, 1536, 384
grass1, 1536, 512
grass1, 1536, 640
grass1, 1536, 768
grass1, 1536, 896
grass1, 1536, 1024
grass1, 1536, 1152
grass1, 1536, 1280
grass1, 1536, 1408
grass1, 1536, 1536
grass1, 1536, 1664
grass1, 1536, 1792
grass1, 1536, 1920
grass1, 1536, 2048
grass1, 1536, 2176
grass1, 1536, 2304
grass1, 1536, 2432
grass1, 1664, 0
grass1, 1664, 128
grass1, 1664, 256
grass1, 1664, 384
grass1, 1664, 512
grass1, 1664, 640
grass1, 1664, 768
grass1, 1664, 896
grass1, 1664, 1024
grass1, 1664, 1152
grass1, 1664, 1280
grass1, 1664, 1408
grass1, 1664, 1536
grass1, 1664, 1664
grass1, 1664, 1792
grass1, 1664, 1920
grass1, 1664, 2048
grass1, 1664, 2176
grass1, 1664, 2304
grass1, 1664, 2432
grass1, 1792, 0
grass1, 1792, 128
grass1, 1792, 256
grass1, 1792, 384
grass1, 1792, 512
grass1, 1792, 640
grass1, 1792, 768
grass1, 1792, 896
grass1, 1792, 1024
grass1, 1792, 1152
grass1, 1792, 1280
grass1, 1792, 1408
grass1, 1792, 1536
grass1, 1792, 1664
grass1, 1792, 1792
grass1, 1792, 1920
grass1, 1792, 2048
grass1, 1792, 2176
grass1, 1792, 2304
grass1, 1792, 2432
grass1, 1920, 0
grass1, 1920, 128
grass1, 1920, 256
grass1, 1920, 384
grass1, 1920, 512
grass1, 1920, 640
grass1, 1920, 768
grass1, 1920, 896
grass1, 1920, 1024
grass1, 1920, 1152
grass1, 1920, 1280
grass1, 1920, 1408
grass1, 1920, 1536
grass1, 1920, 1664
grass1, 1920, 1792
grass1, 1920, 1920
grass1, 1920, 2048
grass1, 1920, 2176
grass1, 1920, 2304
grass1, 1920, 2432
grass1, 2048, 0
grass1, 2048, 128
grass1, 2048, 256
grass1, 2048, 384
grass1, 2048, 512
grass1, 2048, 640
grass1, 2048, 768
grass1, 2048, 896
grass1, 2048, 1024
grass1, 2048, 1152
grass1, 2048, 1280
grass1, 2048, 1408
grass1, 2048, 1536
grass1, 2048, 1664
grass1, 2048, 1792
grass1, 2048, 1920
grass1, 2048, 2048
grass1, 2048, 2176
grass1, 2048, 2304
grass1, 2048, 2432
grass1, 2176, 0
grass1, 2176, 128
grass1, 2176, 256
grass1, 2176, 384
grass1, 2176, 512
grass1, 2176, 640
grass1, 2176, 768
grass1, 2176, 896
grass1, 2176, 1024
grass1, 2176, 1152
grass1, 2176, 1280
grass1, 2176, 1408
grass1, 2176, 1536
grass1, 2176, 1664
grass1, 2176, 1792
grass1, 2176, 1920
grass1, 2176, 2048
grass1, 2176, 2176
grass1, 2176, 2304
grass1, 2176, 2432
grass1, 2304, 0
grass1, 2304, 128
grass1, 2304, 256
grass1, 2304, 384
grass1, 2304, 512
grass1, 2304, 640
grass1, 2304, 768
grass1, 2304, 896
grass1, 2304, 1024
grass1, 2304, 1152
grass1, 2304, 1280
grass1, 2304, 1408
grass1, 2304, 1536
grass1, 2304, 1664
grass1, 2304, 1792
grass1, 2304, 1920
grass1, 2304, 2048
grass1, 2304, 2176
grass1, 2304, 2304
